"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2009",20.715266475056,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2010",20.4015645849472,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2011",21.6576317984718,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2012",21.2760781686499,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2013",21.3606968828433,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2014",21.5361539403705,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2015",21.5324159581804,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2016",20.7136840406098,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2017",21.4935202935385,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2018",21.6371749941796,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2019",20.1756728566692,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2020",17.7255408465983,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2021",19.7096203060062,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2022",21.3606910435151,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1970",27.3917570819622,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1971",27.0353547405368,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1972",26.9306664996172,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1973",26.9193669891799,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1974",29.1143697687905,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1975",28.0946358198911,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1976",28.7525264003829,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1977",27.9539568496884,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1978",29.1150929838055,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1979",30.8807752564071,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1980",31.6930717643075,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1981",33.0006616186123,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1982",31.7414964406827,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1983",30.4781988392966,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1984",32.7510176411213,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1985",34.9213214316704,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1986",31.9977146539408,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1987",31.4062049060141,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1988",33.0709262117721,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1989",35.015202765658,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1990",35.6974146363318,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1991",34.5904881001276,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1992",33.1552676550195,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1993",31.4638980456583,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1994",32.1585338842986,"E"
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1995",33.5331403455378,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1996",34.2492761073574,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1997",37.0280827384957,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1998",38.351021186462,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","1999",39.3570378852981,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2000",43.3462739519887,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2001",44.6175555179483,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2002",45.31938619858,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2003",44.57041471914,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2004",46.8672149740213,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2005",48.6197522046932,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2006",50.8416688618235,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2007",52.560869422371,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2008",53.2488606164087,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2009",45.2074165608437,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2010",51.2621603273359,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2011",53.9486708516394,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2012",53.9736761965302,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2013",53.4412932967224,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2014",53.3865790462424,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2015",53.0890605587958,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2016",52.4063936498056,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2017",54.0511531414978,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2018",55.4622191178234,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2019",55.7607848112938,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2020",51.5849469422098,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2021",55.9518373023172,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2022",62.0831749838848,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1970",27.4686347280959,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1971",27.3451163892509,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1972",27.365352747705,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1973",27.5374531345347,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1974",30.4533619142688,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1975",28.5044982528805,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1976",31.163755238206,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1977",32.3236388961057,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1978",30.5528948243166,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1979",32.4364439554878,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1980",35.1319343048658,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1981",35.3958886770956,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1982",32.3756175092208,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1983",31.993986179109,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1984",33.8239884465719,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1985",35.1618401179462,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1986",32.016882528963,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1987",31.4475179050155,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1988",33.4916241738425,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1989",35.5231560476867,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1990",35.7909548337857,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1991",35.4579177869698,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1992",34.4748998338925,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1993",31.8011525125954,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1994",33.8285594546494,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1995",34.7234607571822,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1996",35.8343950133252,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1997",37.8396074770871,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1998",38.5761282051164,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1999",38.9031024586734,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2000",42.0142216659345,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2001",42.9191092459869,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2002",41.6287818010806,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2003",41.8169676971425,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2004",43.9251307189084,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2005",45.4140534786122,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2006",47.2466423435202,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2007",48.172384639555,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2008",48.8248221152974,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2009",41.8548144134358,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2010",47.7576359096203,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2011",51.154117778086,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2012",51.1785012313079,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2013",50.625120789651,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2014",50.1169562048263,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2015",49.3382548303838,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2016",48.5756846289351,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2017",50.8876917912507,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2018",52.4614203877556,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2019",52.1317298002285,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2020",48.123348236909,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2021",55.0331207505886,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2022",61.6022637210822,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1970",44.9562767358513,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1971",43.7674645550745,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1972",44.1372793467578,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1973",48.0319434235532,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1974",52.893358037233,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1975",45.9160366446258,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1976",48.5543820247456,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1977",47.5072505769384,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1978",45.7616445239126,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1979",49.9224382934336,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1980",50.1172801236908,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1981",54.0635220561834,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1982",58.1033114785097,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1983",60.3956265162053,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1984",64.4123520595959,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1985",62.4543272755596,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1986",57.2830496542294,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1987",55.8677630352546,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1988",59.4080833877059,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1989",63.5667488357647,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1990",61.6136907771297,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1991",60.2296550336852,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1992",58.8089306038795,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1993",56.1077412693147,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1994",58.4249590545518,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1995",60.1143717180605,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1996",61.1923909558718,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1997",64.7865810804479,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1998",64.1743450154283,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","1999",64.5630595160862,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2000",72.5473951580567,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2001",71.6119589202939,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2002",70.8312976956765,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2003",69.0365085088844,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2004",70.906277447218,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2005",74.2828289213953,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2006",76.8049970552189,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2007",78.3018047028263,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2008",80.8806199752035,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2009",68.8340037082276,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2010",75.8500644792464,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2011",80.6973629124622,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2012",80.4044905064987,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2013",79.3243484015476,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2014",79.801009073623,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2015",77.8052821516798,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2016",79.4296154739536,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2017",83.1824102499921,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2018",83.0796294670067,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2019",82.3971820616943,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2020",78.6316242056119,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2021",87.9241729562522,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2022",95.7314965608346,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1970",42.7710264495466,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1971",41.8166177666798,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1972",41.0771607912933,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1973",46.1121507192838,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1974",52.3777201448465,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1975",45.6077126965437,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1976",48.2613756212005,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1977",48.1702725433038,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1978",46.550960571535,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1979",51.6505321053504,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1980",52.9381674238653,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1981",56.1578303566346,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1982",59.822037160011,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1983",59.9999364642422,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1984",63.8183835850715,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1985",61.4226582179306,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1986",55.0439747475742,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1987",54.0513372865066,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1988",57.0148635001021,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1989",61.3701835996737,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1990",59.8541600579142,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1991",58.3604829009414,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1992",56.2603571967148,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1993",52.9049959905429,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1994",54.8073406106081,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1995",56.2641961032662,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1996",58.0203848015116,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1997",60.902358975732,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1998",60.5347776108893,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1999",60.6069310248626,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2000",69.6827399089776,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2001",67.964880914325,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2002",65.2538517924041,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2003",63.679044325004,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2004",66.0121279012141,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2005",70.2462217485879,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2006",72.7625122442923,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2007",74.1666421724765,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2008",80.2078278152436,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2009",66.5720368236699,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2010",74.14760859514,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2011",80.7963607521708,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2012",80.3415397228249,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2013",78.5264966401955,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2014",78.9822068454526,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2015",76.3872643576431,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2016",78.2354105104266,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2017",82.1434260996683,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2018",83.4151576304182,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2019",81.7690330122952,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2020",76.63180955651,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2021",86.1599127123129,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2022",97.3606623152697,"E"
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","1970",21.6096099964574,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","1971",20.7721438056362,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","1972",20.9890681019371,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","1973",22.4861994795662,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","1974",23.8772000809225,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","1975",21.8970594847354,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","1976",21.5126270717427,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","1977",22.5231875079635,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","1978",24.3518794009719,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","1979",26.1533058885706,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","1980",27.3785403151353,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","1981",26.3846584029667,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","1982",25.1926292116307,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","1983",24.92499691443,
